POS,Player Name,Passing YDS,Passing TDS,Picks,Rushing YDS,Rushing TDS,Receptions,Receiving YDS,Receiving TDS,Return TDS,FumTD,2PT,Lost,Points
QB,Kirk Cousins QB - MIN,3603,26,6,63,1,-,-,-,-,-,1,3,296.42
RB,Todd Gurley RB - LA  ,-,-,-,857,12,31,207,2,-,-,1,2,219.40
RB,Sony Michel RB - NE  ,-,-,-,912,7,12,94,-,-,-,-,1,152.60
WR,Stefon Diggs WR - MIN  ,-,-,-,61,-,63,1130,6,-,-,-,3,212.10
WR,Michael Thomas WR - NO    ,-,-,-,-9,-,149,1725,9,-,-,-,-,374.60
TE,Zach Ertz TE - PHI,-,-,-,-,-,88,916,6,-,-,1,1,215.60
W/R,Devonta Freeman RB - ATL  ,-,-,-,656,2,59,410,4,-,-,-,2,197.60
BN,Jared Goff QB - LA  ,4638,22,16,40,2,-,-,-,-,-,-,5,301.52
BN,Tevin Coleman RB - SF,-,-,-,544,6,21,180,1,-,-,-,-,135.40
BN,Tyler Boyd WR - CIN,-,-,-,23,-,90,1046,5,-,-,-,2,222.90
BN,Marquise Brown WR - BAL,-,-,-,-,-,46,584,7,-,-,-,-,146.40
BN,Christian Kirk WR - ARI  ,-,-,-,93,-,68,709,3,-,-,1,-,168.20
BN,Kyle Rudolph TE - MIN  ,-,-,-,-,-,39,367,6,-,-,1,-,113.70
POS,Player Name,Passing YDS,Passing TDS,Picks,Rushing YDS,Rushing TDS,Receptions,Receiving YDS,Receiving TDS,Return TDS,FumTD,2PT,Lost,Points
QB,Patrick Mahomes QB - KC  ,4031,26,5,218,2,-,-,-,-,-,1,2,349.04
RB,Saquon Barkley RB - NYG  ,-,-,-,1003,6,52,438,2,-,-,-,-,244.10
RB,Nick Chubb RB - CLE,-,-,-,1494,8,36,278,-,-,-,-,3,255.20
WR,Breshad Perriman WR - TB  ,-,-,-,16,-,36,645,6,-,-,-,-,138.10
WR,Cooper Kupp WR - LA  ,-,-,-,4,-,94,1161,10,-,-,-,-,275.50
TE,Austin Hooper TE - ATL,-,-,-,-,-,75,787,6,-,-,1,-,191.70
W/R,Raheem Mostert RB - SF  ,-,-,-,772,8,14,180,2,-,-,-,2,165.20
BN,Sam Darnold QB - NYJ  ,3024,19,13,62,2,-,-,-,-,-,3,3,227.16
BN,Royce Freeman RB - DEN  ,-,-,-,496,3,43,256,1,-,-,-,-,142.20
BN,Carlos Hyde RB - HOU,-,-,-,1070,6,10,42,-,-,-,-,2,153.20
BN,Mike Evans WR - TB,-,-,-,-,-,67,1157,8,-,-,1,-,232.70
BN,Marvin Jones WR - DET,-,-,-,-,-,62,779,9,-,-,-,-,193.90
BN,Sammy Watkins WR - KC,-,-,-,12,-,52,673,3,-,-,1,1,138.50
POS,Player Name,Passing YDS,Passing TDS,Picks,Rushing YDS,Rushing TDS,Receptions,Receiving YDS,Receiving TDS,Return TDS,FumTD,2PT,Lost,Points
QB,Russell Wilson QB - SEA  ,4110,31,5,342,3,-,-,-,-,-,1,2,395.60
RB,Joe Mixon RB - CIN  ,-,-,-,1137,5,35,287,3,-,-,-,-,225.40
RB,Austin Ekeler RB - LAC,-,-,-,557,3,92,993,8,-,-,-,2,309.00
WR,Kenny Golladay WR - DET  ,-,-,-,-,-,65,1190,11,-,-,-,1,248.00
WR,D.J. Moore WR - CAR,-,-,-,40,-,87,1175,4,-,-,-,1,230.50
TE,Jacob Hollister TE - SEA  ,-,-,-,-,-,41,349,3,-,-,-,-,93.90
W/R,Jamison Crowder WR - NYJ  ,-,-,-,4,-,78,833,6,-,-,-,-,197.70
BN,David Johnson RB - ARI,-,-,-,345,2,36,370,4,-,-,-,1,141.50
BN,LeSean McCoy RB - KC,-,-,-,465,4,28,181,1,-,-,-,2,118.60
BN,David Montgomery RB - CHI  ,-,-,-,889,6,25,185,1,-,-,-,2,170.40
BN,Rashaad Penny RB - SEA  ,-,-,-,370,3,8,83,1,-,-,-,1,75.30
BN,Cole Beasley WR - BUF,-,-,-,-,-,67,778,6,-,-,2,-,184.80
BN,JuJu Smith-Schuster WR - PIT,-,-,-,-,-,42,552,3,-,-,-,1,113.20
POS,Player Name,Passing YDS,Passing TDS,Picks,Rushing YDS,Rushing TDS,Receptions,Receiving YDS,Receiving TDS,Return TDS,FumTD,2PT,Lost,Points
QB,Drew Brees QB - NO  ,2979,27,4,-4,1,-,-,-,-,-,-,-,278.76
RB,Melvin Gordon RB - LAC  ,-,-,-,612,8,42,296,1,-,-,-,3,180.80
RB,Aaron Jones RB - GB  ,-,-,-,1084,16,49,474,3,-,-,-,2,314.80
WR,Julio Jones WR - ATL  ,-,-,-,-3,-,99,1394,6,-,-,-,-,274.10
WR,A.J. Brown WR - TEN  ,-,-,-,60,1,52,1051,8,-,-,-,-,217.10
TE,George Kittle TE - SF  ,-,-,-,22,-,85,1053,5,-,-,-,-,222.50
W/R,Courtland Sutton WR - DEN  ,38,-,-,17,-,72,1112,6,-,-,-,-,222.42
BN,Tom Brady QB - NE  ,4057,24,8,34,3,-,-,-,-,-,1,1,311.68
BN,Mike Boone RB - MIN    ,-,-,-,273,3,3,17,-,-,-,-,-,50.00
BN,Kareem Hunt RB - CLE,-,-,-,179,2,37,285,1,-,-,-,-,101.40
BN,Josh Jacobs RB - OAK  ,-,-,-,1150,7,20,166,-,-,-,-,1,191.60
BN,Emmanuel Sanders WR - SF,35,1,-,-,-,66,869,5,-,-,1,-,192.30
BN,Robert Woods WR - LA  ,-,-,-,115,1,90,1134,2,-,-,-,-,232.90
POS,Player Name,Passing YDS,Passing TDS,Picks,Rushing YDS,Rushing TDS,Receptions,Receiving YDS,Receiving TDS,Return TDS,FumTD,2PT,Lost,Points
QB,Deshaun Watson QB - HOU  ,3852,26,12,413,7,1,6,1,-,-,1,3,377.98
RB,Kenyan Drake RB - ARI  ,-,-,-,817,8,50,345,-,-,-,1,1,214.20
RB,Alvin Kamara RB - NO  ,13,-,-,797,5,81,533,1,-,-,-,1,248.52
WR,Tyler Lockett WR - SEA  ,-,-,-,-5,-,82,1057,8,-,-,-,-,235.20
WR,Will Fuller WR - HOU  ,-,-,-,-,-,49,670,3,-,-,-,-,139.00
TE,Jared Cook TE - NO  ,-,-,-,-,-,43,705,9,-,-,-,-,167.50
W/R,Keenan Allen WR - LAC  ,-,-,-,16,-,104,1199,6,-,-,-,-,261.50
BN,Matt Ryan QB - ATL  ,4466,26,14,147,1,-,-,-,-,-,1,5,319.34
BN,Peyton Barber RB - TB,-,-,-,470,6,16,115,1,-,-,1,1,116.50
BN,Dalvin Cook RB - MIN  ,-,-,-,1135,13,53,519,-,-,-,-,2,292.40
BN,Chris Godwin WR - TB,-,-,-,8,-,86,1333,9,-,-,1,-,276.10
BN,Jason Witten TE - DAL,-,-,-,-,-,63,529,4,-,-,1,1,139.90
POS,Player Name,Passing YDS,Passing TDS,Picks,Rushing YDS,Rushing TDS,Receptions,Receiving YDS,Receiving TDS,Return TDS,FumTD,2PT,Lost,Points
QB,Ryan Tannehill QB - TEN  ,2742,22,6,185,4,-,-,-,-,-,1,3,268.18
RB,Mark Ingram RB - BAL,-,-,-,1018,10,26,247,5,-,-,2,2,242.50
RB,Ezekiel Elliott RB - DAL  ,-,-,-,1357,12,54,420,2,-,-,-,2,311.70
WR,Anthony Miller WR - CHI,-,-,-,-1,-,52,656,2,-,-,-,1,127.50
WR,Darius Slayton WR - NYG  ,-,-,-,-,-,48,740,8,-,-,-,-,170.00
TE,Tyler Higbee TE - LA  ,-,-,-,-,-,69,734,3,-,-,-,-,160.40
W/R,Michael Gallup WR - DAL  ,-,-,-,-,-,66,1107,6,-,-,-,-,212.70
BN,Mitchell Trubisky QB - CHI  ,3138,17,10,193,2,-,-,-,-,-,1,2,236.82
BN,Julian Edelman WR - NE    ,47,1,-,27,-,100,1117,6,-,-,1,1,258.28
BN,D.K. Metcalf WR - SEA  ,-,-,-,11,-,58,900,7,-,-,1,3,187.10
BN,Deebo Samuel WR - SF  ,-,-,-,159,3,57,802,3,-,-,1,1,189.10
BN,Adam Thielen WR - MIN,-,-,-,6,1,30,418,6,-,-,-,-,114.40
BN,Evan Engram TE - NYG,-,-,-,7,-,44,467,3,-,-,-,-,109.40
POS,Player Name,Passing YDS,Passing TDS,Picks,Rushing YDS,Rushing TDS,Receptions,Receiving YDS,Receiving TDS,Return TDS,FumTD,2PT,Lost,Points
QB,Kyler Murray QB - ARI  ,3722,20,12,544,4,-,-,-,-,-,3,2,325.28
RB,Christian McCaffrey RB - CAR  ,-,-,-,1387,15,116,1005,4,-,-,1,-,471.20
RB,Marlon Mack RB - IND  ,-,-,-,1091,8,14,82,-,-,-,1,-,181.30
WR,Larry Fitzgerald WR - ARI  ,-,-,-,-,-,75,804,4,-,-,-,1,177.40
WR,Curtis Samuel WR - CAR,-,-,-,130,1,54,627,6,-,-,-,-,171.70
TE,Hunter Henry TE - LAC  ,-,-,-,-,-,55,652,5,-,-,1,1,150.20
W/R,T.Y. Hilton WR - IND  ,-,-,-,-,-,45,501,5,-,-,-,-,125.10
BN,Aaron Rodgers QB - GB  ,4002,26,4,183,1,-,-,-,-,-,3,4,340.38
BN,Derrick Henry RB - TEN  ,-,-,-,1540,16,18,206,2,-,-,-,3,299.60
BN,Latavius Murray RB - NO  ,-,-,-,637,5,34,235,1,-,-,-,-,157.20
BN,Calvin Ridley WR - ATL  ,-,-,-,34,-,63,866,7,-,-,1,-,197.00
BN,Greg Olsen TE - CAR  ,-,-,-,-,-,52,597,2,-,-,-,-,123.70
POS,Player Name,Passing YDS,Passing TDS,Picks,Rushing YDS,Rushing TDS,Receptions,Receiving YDS,Receiving TDS,Return TDS,FumTD,2PT,Lost,Points
QB,Dak Prescott QB - DAL  ,4902,30,11,277,3,-,-,-,-,-,1,2,412.78
RB,Le'Veon Bell RB - NYJ  ,-,-,-,789,3,66,461,1,-,-,1,1,215.00
RB,Miles Sanders RB - PHI    ,-,-,-,818,3,50,509,3,-,-,1,1,218.70
WR,Amari Cooper WR - DAL  ,-,-,-,6,-,79,1189,8,-,-,-,-,251.50
WR,Tyreek Hill WR - KC  ,-,-,-,23,-,58,860,7,-,-,-,-,188.30
TE,O.J. Howard TE - TB,-,-,-,-,-,34,459,1,-,-,-,1,83.90
W/R,Terry McLaurin WR - WAS  ,-,-,-,-,-,58,919,7,-,-,-,-,191.90
BN,Carson Wentz QB - PHI  ,4039,27,7,243,1,-,-,-,-,-,2,7,329.86
BN,Chris Carson RB - SEA  ,-,-,-,1230,7,37,266,2,-,-,-,4,232.60
BN,DeVante Parker WR - MIA  ,-,-,-,-,-,72,1202,9,-,-,-,-,246.20
BN,Sterling Shepard WR - NYG,-,-,-,72,-,57,576,3,-,-,1,-,141.80
BN,Mark Andrews TE - BAL  ,-,-,-,-,-,64,852,10,-,-,-,1,207.20
POS,Player Name,Passing YDS,Passing TDS,Picks,Rushing YDS,Rushing TDS,Receptions,Receiving YDS,Receiving TDS,Return TDS,FumTD,2PT,Lost,Points
QB,Jimmy Garoppolo QB - SF  ,3978,27,13,62,1,-,-,-,-,-,2,5,306.32
RB,James White RB - NE  ,35,-,-,263,1,72,645,5,-,-,1,1,200.20
RB,Patrick Laird RB - MIA  ,-,-,-,168,1,23,204,-,-,-,1,-,68.20
WR,DeAndre Hopkins WR - HOU,6,1,1,18,-,104,1165,7,-,-,1,-,270.54
WR,James Washington WR - PIT,-,-,-,-,-,44,735,3,-,-,-,1,133.50
TE,Darren Waller TE - OAK  ,-,-,-,5,-,90,1145,3,-,-,-,1,221.00
W/R,James Conner RB - PIT,-,-,-,464,4,34,251,3,-,-,-,1,145.50
BN,Josh Allen QB - BUF,3089,20,9,510,9,-,-,-,-,-,3,4,328.56
BN,Jordan Howard RB - PHI,-,-,-,525,6,10,69,1,-,-,-,-,111.40
BN,Devin Singletary RB - BUF  ,-,-,-,775,2,29,194,2,-,-,-,1,147.90
BN,Robby Anderson WR - NYJ  ,-,-,-,4,-,52,779,5,-,-,1,-,162.30
BN,Odell Beckham WR - CLE  ,20,-,-,10,-,74,1035,4,-,-,-,1,201.30
BN,Tyrell Williams WR - OAK,-,-,-,-,-,42,651,6,-,-,-,-,143.10
POS,Player Name,Passing YDS,Passing TDS,Picks,Rushing YDS,Rushing TDS,Receptions,Receiving YDS,Receiving TDS,Return TDS,FumTD,2PT,Lost,Points
QB,Lamar Jackson QB - BAL    ,3127,36,6,1206,7,-,-,-,-,-,-,2,487.68
RB,Leonard Fournette RB - JAX,-,-,-,1152,3,76,522,-,-,-,-,1,264.40
RB,--empty--,-,-,-,-,-,-,-,-,-,-,-,-,-
WR,Davante Adams WR - GB  ,-,-,-,-,-,83,997,5,-,-,1,1,212.70
WR,Allen Robinson WR - CHI  ,-,-,-,2,-,98,1147,7,-,-,-,-,254.90
TE,Travis Kelce TE - KC  ,-,-,-,4,1,97,1229,5,-,-,-,1,254.30
W/R,Jarvis Landry WR - CLE  ,-,-,-,10,-,83,1174,6,-,-,-,-,237.40
BN,Jameis ston QB - TB  ,5109,33,30,250,1,-,-,-,-,-,4,5,386.36
BN,Kerryon Johnson RB - DET  ,-,-,-,403,3,10,127,1,-,-,-,1,85.00
BN,Phillip Lindsay RB - DEN  ,-,-,-,1011,7,35,196,-,-,-,-,-,197.70
BN,John Brown WR - BUF,28,1,-,7,-,72,1060,6,-,-,-,-,221.82
BN,D.J. Chark WR - JAX,-,-,-,20,-,73,1008,8,-,-,1,-,225.80
BN,Golden Tate WR - NYG  ,-,-,-,16,-,49,676,6,-,-,-,1,152.20
